City_ID,City,Country,Max Temp,Current Description,Lat,Lng,HotelName
4,Bambous Virieux,MU,79.05,few clouds,-20.3428,57.7575,Casa Tia Villa
6,Suez,EG,71.94,clear sky,29.9737,32.5263,Green House
9,Hermanus,ZA,67.32,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Castro,BR,79.38,clear sky,-24.7911,-50.0119,CHACARA BAILLY
20,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
22,Nabire,ID,74.98,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
24,Chuy,UY,72.48,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
28,Caravelas,BR,75.88,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
31,Turbat,PK,74.93,clear sky,26.0023,63.044,Mubashar Quarters
32,Atuona,PF,78.01,few clouds,-9.8,-139.0333,Villa Enata
39,Qeshm,IR,76.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
48,Hilo,US,71.71,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Bredasdorp,ZA,71.13,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
52,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Souillac,MU,79.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Sola,VU,79.52,scattered clouds,-13.8833,167.55,Leumerus Bungalows
59,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Victoria,HK,69.78,clear sky,22.2855,114.1577,Mini Hotel Central
66,Port Alfred,ZA,67.87,light rain,-33.5906,26.891,The Halyards Hotel
73,Rikitea,PF,76.17,clear sky,-23.1203,-134.9692,People ThankYou
80,Kapaa,US,72.07,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Pimentel,PE,75.49,few clouds,-6.8367,-79.9342,Casona Del Muelle
82,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
85,Ciudad Valles,MX,71.82,few clouds,21.9833,-99.0167,Hotel Mision Ciudad Valles
87,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
88,Prieska,ZA,76.33,clear sky,-29.6641,22.7474,Avenue GuestHouse
89,Mango,US,66.47,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
90,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
92,Palmerston,AU,76.98,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
96,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
101,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
105,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Lindsey Hôtel
112,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
113,Cabo San Lucas,MX,73.83,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
118,Kerema,PG,78.91,overcast clouds,-7.9631,145.7785,Frena Lodge
119,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
125,East London,ZA,67.14,moderate rain,-33.0153,27.9116,Tu Casa
131,Cajamarca,PE,68.07,light rain,-7.1638,-78.5003,Hotel Qhapac Ñan
135,Qui Nhon,VN,76.66,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
138,Luwuk,ID,78.87,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
139,Omboue,GA,77.88,moderate rain,-1.5746,9.2618,Hotel Olako
140,General Roca,AR,77.4,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
141,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Kalabo,ZM,75.42,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
143,Saldanha,ZA,68.05,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
148,Hit,IQ,66.15,broken clouds,33.6416,42.8251,صالون زيرو
149,Nishihara,JP,70.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
163,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
166,Metro,ID,75.33,heavy intensity rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
169,Cidreira,BR,72.79,broken clouds,-30.1811,-50.2056,Hotel Castelo
178,Sao Filipe,CV,78.51,scattered clouds,14.8961,-24.4956,Hotel Xaguate
182,Chauk,MM,72.27,clear sky,20.8833,94.8167,Bo Khin Guest House
183,Malanje,AO,66.56,overcast clouds,-9.5402,16.341,Malanje Hotel
185,Byron Bay,AU,69.75,overcast clouds,-28.65,153.6167,Backpackers Inn
189,Buala,SB,79.41,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
193,Tikrit,IQ,66.4,broken clouds,34.6071,43.6782,عماره العبطه
195,Miramar,US,73.42,clear sky,25.9873,-80.2323,Miramar
196,Vao,NC,75.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
198,Ambilobe,MG,78.26,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
201,Bonga,ET,67.62,overcast clouds,7.2833,36.2333,Abelena bare and restorant
206,Ribeira Grande,PT,66.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
217,Cape Town,ZA,66.61,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
219,Gushikawa,JP,70.83,scattered clouds,26.3544,127.8686,Kirari Guest House
226,Kalmunai,LK,79.43,moderate rain,7.4167,81.8167,VS Villa
229,Dhule,IN,75.72,scattered clouds,20.9,74.7833,Hotel Dwarkamai
231,Pathein,MM,74.03,few clouds,16.7833,94.7333,New Pammawaddy Hotel
232,Jalu,LY,73.27,scattered clouds,29.0331,21.5482,صاحبة الفخامة
236,Rio Grande,BR,78.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
238,Chicama,PE,66.74,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
243,Mutoko,ZW,65.39,clear sky,-17.397,32.2268,Mutoko Hotel
244,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
248,Mitsamiouli,KM,77.29,light rain,-11.3847,43.2844,Foyer ADM
255,Myingyan,MM,70.59,few clouds,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
258,Marsh Harbour,BS,74.21,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
269,Kahului,US,65.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
274,Alexandria,EG,75.16,clear sky,31.2156,29.9553,Royal Crown Hotel
279,Kisangani,CD,73.83,broken clouds,0.5167,25.2,Grand Ramela Hotel
282,Imbituba,BR,78.69,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
283,Kirakira,SB,78.85,broken clouds,-10.4544,161.9205,SanBiz Lodge
286,Mar Del Plata,AR,66.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
290,Wanlaweyn,SO,78.84,broken clouds,2.6185,44.8938,GAASHAAN HOME
301,Bengkulu,ID,76.53,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
305,Sur,OM,75.52,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
306,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
311,Las Choapas,MX,69.85,broken clouds,17.9333,-94.0833,Hotel Jysmak
312,Esna,EG,75.22,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
313,Sayhat,SA,77.2,clear sky,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
316,Namuac,PH,77.16,overcast clouds,18.6109,121.1657,Mlin Hotel
318,Tanete,ID,76.39,heavy intensity rain,-3.9443,119.7848,Wisma Tri Multi
319,Luxor,EG,75.25,clear sky,25.6989,32.6421,Iberotel Luxor
324,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
330,Xuddur,SO,76.15,overcast clouds,4.1213,43.8894,Banjanay Hotel
336,Dondo,MZ,76.51,scattered clouds,-19.6094,34.7431,Arco Iris
338,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
339,Guerrero Negro,MX,70.92,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
340,Necochea,AR,68.09,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
346,Perumpavur,IN,76.91,mist,10.1333,76.4833,Hotel Travellers Inn
347,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
350,Daru,PG,79.18,overcast clouds,-9.0763,143.2092,Daru Lodge
351,San Luis,AR,73.02,broken clouds,-33.295,-66.3356,Huarpes Hotel
354,Victoria Point,AU,71.56,broken clouds,-27.5833,153.3,Bay Retreat Motel
357,Salalah,OM,78.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
359,Hualmay,PE,70.43,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
361,Tikaitnagar,IN,65.62,clear sky,26.95,81.5833,gaurav ka ghar
366,Port Hueneme,US,65.03,scattered clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
367,Moerai,PF,77.32,broken clouds,-22.4333,-151.3333,Le Manotel
372,Kaohsiung,TW,75.15,light intensity drizzle,22.6163,120.3133,御宿商旅-中山館
375,Jam Sahib,PK,66.22,clear sky,26.2958,68.6292,Al Madina
378,Ballina,AU,66.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
379,Wanning,CN,73.18,overcast clouds,18.8003,110.3967,Paradise Hotel
380,Amahai,ID,78.85,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
381,Acari,PE,76.28,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
384,Nha Trang,VN,75.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
