City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Katsuura,JP,2021-11-27 16:54:15,35.1333,140.3,46.51,55,27,9.6,scattered clouds
1,Priiskovyy,RU,2021-11-27 16:54:16,51.9333,116.6333,9.91,96,100,0.78,overcast clouds
2,Filingue,NE,2021-11-27 16:54:16,14.3521,3.3168,90.95,10,82,7.85,broken clouds
3,Busselton,AU,2021-11-27 16:54:16,-33.65,115.3333,64.87,67,0,6.38,clear sky
4,Bambous Virieux,MU,2021-11-27 16:54:17,-20.3428,57.7575,79.05,73,20,3.44,few clouds
5,Mataura,NZ,2021-11-27 16:54:17,-46.1927,168.8643,36.86,99,49,2.3,scattered clouds
6,Suez,EG,2021-11-27 16:54:18,29.9737,32.5263,71.94,33,7,7.96,clear sky
7,Nikolskoye,RU,2021-11-27 16:54:18,59.7035,30.7861,24.69,74,100,12.48,overcast clouds
8,Mandalgovi,MN,2021-11-27 16:54:19,45.7625,106.2708,15.62,80,50,18.34,scattered clouds
9,Hermanus,ZA,2021-11-27 16:54:19,-34.4187,19.2345,67.32,65,98,18.77,overcast clouds
10,Tongzi,CN,2021-11-27 16:54:20,28.7829,105.0877,51.91,88,100,1.48,overcast clouds
11,Tiksi,RU,2021-11-27 16:54:20,71.6872,128.8694,-8.77,99,92,6.8,overcast clouds
12,Deyang,CN,2021-11-27 16:54:20,31.1302,104.382,51.3,86,96,1.88,overcast clouds
13,Castro,BR,2021-11-27 16:49:32,-24.7911,-50.0119,79.38,47,4,7.05,clear sky
14,Iqaluit,CA,2021-11-27 16:54:21,63.7506,-68.5145,24.53,68,90,2.3,light snow
15,Oussouye,SN,2021-11-27 16:52:42,12.485,-16.5469,96.98,25,84,7.94,broken clouds
16,New Norfolk,AU,2021-11-27 16:54:21,-42.7826,147.0587,45.9,97,0,2.68,clear sky
17,Promyshlennaya,RU,2021-11-27 16:54:22,54.9159,85.6385,18.55,85,100,20.29,light snow
18,Khatanga,RU,2021-11-27 16:54:22,71.9667,102.5,-2.67,92,100,16.22,overcast clouds
19,Batagay-Alyta,RU,2021-11-27 16:54:23,67.8006,130.4114,-1.21,99,100,0.25,light snow
20,Carnarvon,AU,2021-11-27 16:49:32,-24.8667,113.6333,78.87,47,0,17.27,clear sky
21,Rafai,CF,2021-11-27 16:54:23,4.95,23.9167,78.33,42,38,2.98,scattered clouds
22,Nabire,ID,2021-11-27 16:54:23,-3.3667,135.4833,74.98,96,100,3.98,overcast clouds
23,Merritt Island,US,2021-11-27 16:54:24,28.5392,-80.672,66.22,61,1,11.5,clear sky
24,Chuy,UY,2021-11-27 16:51:09,-33.6971,-53.4616,72.48,71,99,11.16,overcast clouds
25,Jamestown,US,2021-11-27 16:54:24,42.097,-79.2353,31.59,69,90,11.5,overcast clouds
26,Chapais,CA,2021-11-27 16:54:25,49.7834,-74.8492,19.18,87,100,14.7,overcast clouds
27,Albany,US,2021-11-27 16:54:25,42.6001,-73.9662,27.21,55,19,15.41,few clouds
28,Caravelas,BR,2021-11-27 16:54:25,-17.7125,-39.2481,75.88,78,92,6.64,moderate rain
29,Saskylakh,RU,2021-11-27 16:54:26,71.9167,114.0833,-4.0,92,100,10.36,overcast clouds
30,Santa Lucia,ES,2021-11-27 16:52:33,27.9117,-15.5407,58.32,72,75,17.27,broken clouds
31,Turbat,PK,2021-11-27 16:54:26,26.0023,63.044,74.93,21,3,11.59,clear sky
32,Atuona,PF,2021-11-27 16:54:27,-9.8,-139.0333,78.01,78,17,19.93,few clouds
33,Punta Arenas,CL,2021-11-27 16:50:15,-53.15,-70.9167,53.71,40,75,19.57,broken clouds
34,Greymouth,NZ,2021-11-27 16:54:27,-42.4667,171.2,53.56,98,100,10.25,moderate rain
35,Thunder Bay,CA,2021-11-27 16:54:28,48.4001,-89.3168,31.98,59,75,4.61,broken clouds
36,Volosovo,RU,2021-11-27 16:54:28,59.4333,29.4833,23.56,77,100,14.34,overcast clouds
37,Upernavik,GL,2021-11-27 16:54:29,72.7868,-56.1549,11.08,93,96,3.49,overcast clouds
38,Yanji,CN,2021-11-27 16:54:29,42.9075,129.5078,20.5,82,15,1.45,few clouds
39,Qeshm,IR,2021-11-27 16:54:29,26.9581,56.2719,76.89,71,0,5.86,clear sky
40,Umm Kaddadah,SD,2021-11-27 16:54:30,13.6017,26.6876,80.47,15,2,11.43,clear sky
41,Nanortalik,GL,2021-11-27 16:49:47,60.1432,-45.2371,44.19,92,99,13.76,light rain
42,Luderitz,NA,2021-11-27 16:54:31,-26.6481,15.1594,64.98,74,0,7.23,clear sky
43,Kruisfontein,ZA,2021-11-27 16:54:31,-34.0033,24.7314,62.29,76,39,4.92,scattered clouds
44,Arraial Do Cabo,BR,2021-11-27 16:54:31,-22.9661,-42.0278,91.36,51,20,17.27,few clouds
45,Tura,IN,2021-11-27 16:54:32,25.5198,90.2201,59.97,80,0,3.89,clear sky
46,Ahipara,NZ,2021-11-27 16:54:32,-35.1667,173.1667,56.55,92,58,3.44,broken clouds
47,Ostrovnoy,RU,2021-11-27 16:54:33,68.0531,39.5131,12.92,87,99,8.12,overcast clouds
48,Hilo,US,2021-11-27 16:54:33,19.7297,-155.09,71.71,74,18,1.66,few clouds
49,Longyearbyen,SJ,2021-11-27 16:54:34,78.2186,15.6401,13.84,62,20,18.41,few clouds
50,Butaritari,KI,2021-11-27 16:54:34,3.0707,172.7902,81.21,78,99,20.2,light rain
51,Bredasdorp,ZA,2021-11-27 16:54:34,-34.5322,20.0403,71.13,52,69,6.85,broken clouds
52,Puerto Ayora,EC,2021-11-27 16:54:35,-0.7393,-90.3518,75.16,73,80,11.41,broken clouds
53,Lander,US,2021-11-27 16:54:35,42.833,-108.7307,41.83,44,99,1.83,overcast clouds
54,Bluff,NZ,2021-11-27 16:54:36,-46.6,168.3333,44.49,82,54,5.7,broken clouds
55,Souillac,MU,2021-11-27 16:54:36,-20.5167,57.5167,79.18,73,20,3.44,few clouds
56,Sola,VU,2021-11-27 16:52:23,-13.8833,167.55,79.52,78,31,2.28,scattered clouds
57,Hasaki,JP,2021-11-27 16:54:37,35.7333,140.8333,41.4,50,0,14.12,clear sky
58,San Carlos Del Zulia,VE,2021-11-27 16:54:37,9.0,-71.9135,85.77,67,98,4.27,overcast clouds
59,Vaini,TO,2021-11-27 16:54:38,-21.2,-175.2,78.96,94,75,8.05,broken clouds
60,Ushuaia,AR,2021-11-27 16:54:38,-54.8,-68.3,51.46,40,40,5.75,scattered clouds
61,Avera,US,2021-11-27 16:54:39,33.194,-82.5271,54.91,29,2,2.68,clear sky
62,Kudahuvadhoo,MV,2021-11-27 16:54:39,2.6708,72.8944,82.04,71,100,17.56,overcast clouds
63,Victoria,HK,2021-11-27 16:50:51,22.2855,114.1577,69.78,69,8,14.25,clear sky
64,Zhangye,CN,2021-11-27 16:54:40,38.9342,100.4517,28.36,37,41,6.31,scattered clouds
65,Northam,GB,2021-11-27 16:54:40,51.0333,-4.2167,40.62,55,61,29.28,broken clouds
66,Port Alfred,ZA,2021-11-27 16:54:41,-33.5906,26.891,67.87,92,61,26.89,light rain
67,Thompson,CA,2021-11-27 16:50:16,55.7435,-97.8558,23.16,93,90,5.75,light snow
68,Yar-Sale,RU,2021-11-27 16:54:41,66.8333,70.8333,5.68,97,100,4.18,overcast clouds
69,Puerto Escondido,MX,2021-11-27 16:54:42,15.85,-97.0667,85.1,42,7,4.25,clear sky
70,San Patricio,US,2021-11-27 16:54:42,28.017,-97.5169,55.26,54,100,6.29,overcast clouds
71,Aktau,KZ,2021-11-27 16:54:42,43.65,51.2,41.58,42,54,14.7,broken clouds
72,Yellowknife,CA,2021-11-27 16:54:43,62.456,-114.3525,-8.88,84,20,9.22,few clouds
73,Rikitea,PF,2021-11-27 16:54:43,-23.1203,-134.9692,76.17,75,3,15.17,clear sky
74,Platikambos,GR,2021-11-27 16:54:44,39.6167,22.5333,60.15,83,100,5.44,light rain
75,Hobart,AU,2021-11-27 16:52:14,-42.8794,147.3294,46.26,87,0,6.91,clear sky
76,Georgetown,MY,2021-11-27 16:54:44,5.4112,100.3354,80.55,83,40,3.44,thunderstorm
77,Southbridge,US,2021-11-27 16:54:45,42.0751,-72.0334,35.62,67,29,14.79,scattered clouds
78,Barrow,US,2021-11-27 16:54:45,71.2906,-156.7887,-16.58,83,75,0.0,broken clouds
79,Codrington,AU,2021-11-27 16:54:45,-38.2667,141.9667,46.9,92,0,8.52,clear sky
80,Kapaa,US,2021-11-27 16:54:46,22.0752,-159.319,72.07,68,3,6.76,clear sky
81,Pimentel,PE,2021-11-27 16:54:46,-6.8367,-79.9342,75.49,60,20,6.91,few clouds
82,Isangel,VU,2021-11-27 16:54:47,-19.55,169.2667,77.11,88,75,6.91,broken clouds
83,Saint George,US,2021-11-27 16:54:47,37.1041,-113.5841,52.27,35,1,0.0,clear sky
84,Pangnirtung,CA,2021-11-27 16:54:47,66.1451,-65.7125,23.0,50,75,5.75,broken clouds
85,Ciudad Valles,MX,2021-11-27 16:54:48,21.9833,-99.0167,71.82,72,13,2.73,few clouds
86,Waipawa,NZ,2021-11-27 16:54:48,-41.4122,175.5153,54.23,96,100,6.26,light rain
87,Alofi,NU,2021-11-27 16:54:49,-19.0595,-169.9187,75.09,94,94,2.3,overcast clouds
88,Prieska,ZA,2021-11-27 16:54:49,-29.6641,22.7474,76.33,17,0,20.4,clear sky
89,Mango,US,2021-11-27 16:54:50,27.9797,-82.3065,66.47,35,1,8.05,clear sky
